Acknowledgement ID,USER_ID,COURSE_ID,ENROLMENT_ACTIVITY_ID,Acknowledgement Title,Acknowledgement Text,Acknowledgement Introduction,Acknowledgement Created Date,Acknowledgement Modified Date,Acknowledgement Checked Date,CLIENT_NAME,CLIENT_REGION
8830,76315,15024,5729738,RiskMan - Video 7,I have watched and understood this video on RiskMan,"Please watch and listen to this video to learn about entering a WHS hazard into RiskMan. Please click here to start the video Once the video is completed, please click on the tick above.",2020-07-23 10:04:21+00:00,2020-07-27 05:15:37+00:00,2020-09-06 11:00:10+00:00,healthscope,SYD
33,6485,56,90480,Safeguarding Policy,I confirm I understand my role and responsibility as outlined by the Framework.,Click Start/Resume to complete the acknowledgement.,2023-01-24 04:08:03+00:00,2024-05-24 06:57:53+00:00,2023-02-02 06:17:26+00:00,cdmn,SYD
33,3102,56,88328,Safeguarding Policy,I understand that I can access further information and support from the Office of Safeguarding.,Click Start/Resume to complete the acknowledgement.,2023-01-24 04:08:03+00:00,2024-05-24 06:57:53+00:00,2023-03-02 00:49:52+00:00,cdmn,SYD
30,2502,7,62574,Codes of Conduct,I confirm I have read and understood the DBG Health Code of Conduct and will adhere to the requirements outlined.,These codes of Conduct outline the policies regarding Anti-bribery and corruption and are both needed to ensure that both DBG and its strategic partners maintain the highest level of compliance and ethical business standards. 01 Menarini Global Third Parties' - Code of Conduct 02 DBG Health Code of Conduct,2024-05-08 05:13:23+00:00,2025-10-08 21:23:49+00:00,2025-10-01 02:35:35+00:00,arrotex,SYD
165,1055,99,50024,Workplace,"I will comply with the  Grievance and Dispute Resolution, Sexual Harassment, Workplace Bullying, Motor Vehicle Usage, EEO and Diversity, Workplace Surveillance and Recruitment and Selection Policies Policies",Please read the policies and complete the acknowledgement.,2018-07-31 02:13:13+00:00,2018-08-02 01:24:58+00:00,2019-09-04 13:56:21+00:00,communicare,SYD
470,1064,2476,127658,Policy & Frameworks Acknowledgement,"I acknowledge that I have downloaded, read and understood the Controls Framework, Issues Management Policy and Operational Risk Management Framework.","You must now read and acknowledge the updated Cbus Controls Framework, Issues Management Policy and Operational Risk Management Framework . Click on each of the documents to download. Locate the documents in your Downloads folder. Read the documents in full. Complete the acknowledgement below. Click Submit .",2025-05-21 04:57:47+00:00,2025-05-30 03:39:35+00:00,2025-06-04 05:47:55+00:00,cbus,SYD
837,4608,559,94702,"Approximate duration to complete, 2 mins","I acknowledge, that I have read and understand Busways Integrated Management System. I'm also aware, that if I have any further questions, I can ask my supervisor/manager.",About this Module The Busways Integrated Management System will give you an understanding of what Busways Integrated Management System is and how we all can work with it.,2022-10-28 01:13:20+00:00,2022-11-11 01:17:50+00:00,2023-08-14 01:32:55+00:00,busways,SYD
867,39790,504,2494362,HSP Policy 12.04 Fire Risk Minimisation Management - Surgical,I agree,HSP Policy 12.04 Fire Risk Minimisation Management - Surgical I have read and acknowledge it is my responsibility to abide by the information in this document.,2015-10-11 09:26:59+00:00,2015-10-11 09:26:59+00:00,2017-06-24 10:55:28+00:00,healthscope,SYD
99,2288,1006,43439,Puna Kōrero Treasure Hunt,I confirm I have read and completed these tasks.,Click &#39;View&#39; below to complete this Month One task.,2019-05-05 07:16:34+00:00,2023-11-07 06:37:37+00:00,2020-12-10 23:24:45+00:00,ecan,SYD
31,532,462,23056,TIO Flex@TIO Policy v3.1 (2024/2025 acknowledgement),I agree to comply with Flex@TIO policy (as updated from time to time) in accordance with the terms and conditions of my employment.,"This policy enables and promotes a culture of flexible working. We are committed to equality, diversity, and inclusion and flexible work practices. The Telecommunications Industry Ombudsman's (TIO) purpose is to provide fair, independent and accessible dispute resolution services and improve outcomes for consumers and members. One of our key goals to achieve our purpose is to leverage the power of our people to strengthen capability and performance. This policy enables our purpose and goals by building adaptable services and shaping a flexible work culture. We welcome the diversity of our workplace participants and recognize the skills, talents, passions, cultures, ethnicities, religions, beliefs, national origins, identities, gender, sex, sexuality, intersex variation, ability, age, life experience and choices and perspectives our workplace participants contribute. TIO is committed to equality, diversity, and inclusion. The TIO is also committed to providing a safe, respectful, and professional workplace in which all are treated with dignity, courtesy, and respect. If you would like to learn more about Flexible Work Arrangements, you can find the Flexible Work Arrangements elearning module available in your PEARL course catalogue or via this link (right click to open in a new window)",2024-09-29 23:29:17+00:00,2024-11-27 12:01:03+00:00,2025-03-17 23:37:31+00:00,tio,SYD
