Enrolment Completion History ID,USER_ID,COURSE_ID,ENROLMENT_ID,Enrolment Completion History Course Title,Enrolment Completion History Content,Enrolment Completion History Completion Date,Enrolment Completion History Start Date,Enrolment Completion History Is Active Enrolment,CLIENT_NAME,CLIENT_REGION
1042192,22453,3281,,AVN - AV WI 032 Auspost - Primary and Secondary Screening - Processes,,2022-04-03 04:41:26+00:00,2022-04-03 04:33:26+00:00,True,msssecurity,SYD
640327,3162,2748,,QLD Enterprise Agreement Update 06.10.2020,,2020-11-21 01:35:50+00:00,2020-11-21 01:35:49+00:00,True,msssecurity,SYD
502786,21190,2499,,MEMO - BMA Christmas Flights (Finalised) December 2019,,2020-01-25 04:07:59+00:00,2020-01-25 04:07:57+00:00,True,msssecurity,SYD
737758,18631,2816,,MSS Gateway App,,2021-04-18 21:41:26+00:00,2021-04-18 21:41:25+00:00,True,msssecurity,SYD
526798,20903,2546,,Infection Prevention and Control,,2021-09-23 01:06:54+00:00,2021-09-23 01:04:09+00:00,True,msssecurity,SYD
594947,22641,2,,Compulsory Module 1 - MSS Induction,,2020-08-15 02:30:46+00:00,2020-08-09 05:06:14+00:00,True,msssecurity,SYD
1301218,26856,3775,,2023 Bowel Cancer Awareness Campaign Q3,,2023-10-23 07:11:00+00:00,2023-10-23 07:10:57+00:00,True,msssecurity,SYD
1449216,51584,840,,[QXR] Fire Drill Acknowledgement,,2026-05-28 22:19:04+00:00,2026-05-28 22:19:04+00:00,True,sonic,SYD
500463,14841,2493,,Toolbox - December 2019 - Staying Safe Over the Christmas Period,,2020-12-25 00:35:47+00:00,2020-12-25 00:35:46+00:00,True,msssecurity,SYD
593349,222,2694,,Staff Communication - Coronavirus (COVID-19) Update - Victorian Employees,,2020-07-31 15:14:05+00:00,2020-07-31 15:14:03+00:00,True,msssecurity,SYD
24591,567,4,,RM - Do not use,,2018-01-22 04:53:08+00:00,2018-01-22 04:33:11+00:00,True,msssecurity,SYD
27401,4318,4,,RM - Do not use,,2015-04-03 11:20:51+00:00,2015-03-27 11:02:47+00:00,True,msssecurity,SYD
1085040,11947,3342,,Important Update to your Information,,2022-08-10 23:08:43+00:00,2022-08-10 23:08:34+00:00,True,msssecurity,SYD
197416,10648,2001,,INTERACTING WITH VEHICLES,,2018-01-12 23:32:46+00:00,2018-01-12 23:29:33+00:00,True,msssecurity,SYD
1144276,47941,518,,SCS Code of Conduct,,2026-05-13 05:17:29+00:00,2026-05-13 04:36:22+00:00,True,sonic,SYD
1158223,1784,3429,,People Pulse Newsletter Q1 22/23,,2023-09-21 04:41:23+00:00,2023-09-21 04:41:22+00:00,True,msssecurity,SYD
212506,13621,2019,,Mind@Work Employees,,2017-02-17 02:08:57+00:00,2017-02-17 02:08:55+00:00,True,msssecurity,SYD
650678,17996,2763,,People Pulse Newsletter Q2 20/21,,2020-11-04 10:33:54+00:00,2020-11-04 10:33:52+00:00,True,msssecurity,SYD
823214,24702,2921,,People Pulse Newsletter Q4 20/21,,2021-04-13 00:09:04+00:00,2021-04-13 00:09:03+00:00,True,msssecurity,SYD
789781,538,2438,,Indigenous Cultural Awareness Training,,2021-02-18 18:33:54+00:00,2021-02-18 18:25:06+00:00,True,msssecurity,SYD
288319,1173,2144,,Mental Health Resilience @Work,,2017-12-19 04:37:24+00:00,2017-12-14 09:03:42+00:00,True,msssecurity,SYD
932691,17335,3173,,VIC | MSS Security Victorian Enterprise Agreement - Update - 15.11.2021,,2021-11-26 06:36:55+00:00,2021-11-15 07:31:20+00:00,True,msssecurity,SYD
848358,25251,2983,,"EEO, Discrimination, Harassment & Bullying Policy Acknowledgement",,2021-06-07 22:04:26+00:00,2021-06-07 22:04:25+00:00,True,msssecurity,SYD
388255,18371,2356,,Feb 2019 NT Toolbox - Personal Hygiene,,2019-02-24 15:28:59+00:00,2019-02-24 15:28:57+00:00,True,msssecurity,SYD
28364,5803,4,,RM - Do not use,,2017-07-28 02:25:16+00:00,2017-07-28 01:48:06+00:00,True,msssecurity,SYD
