Enrolment Completion History ID,USER_ID,COURSE_ID,ENROLMENT_ID,Enrolment Completion History Course Title,Enrolment Completion History Content,Enrolment Completion History Completion Date,Enrolment Completion History Start Date,Enrolment Completion History Is Active Enrolment,CLIENT_NAME,CLIENT_REGION
9408,280,35,8921,Code of Conduct Policy,"Date of Completion: 27/02/2025 Code of Conduct Acknowledgement, Date of Completion: 27/02/2025",2025-02-26 21:49:44+00:00,2025-01-17 00:47:30+00:00,False,compnow,SYD
22112,4217,4,0,Risk Management,"Date of Completion: 02/11/2012 Risk Management, Score: 93, Date of Completion: 2/11/2012",2012-11-02 00:05:35+00:00,2012-10-31 06:10:17+00:00,False,msssecurity,SYD
16926,808,35,9978,Code of Conduct,"Date of Completion: 27/08/2020 Code of Conduct Policy - PO1.2, Date of Completion: 27/08/2020",2020-08-26 21:43:11+00:00,2019-08-07 02:42:32+00:00,False,payrolltesting,SYD
23237,84,49,4940,Code of Conduct,"Date of Completion: 11/03/2022 Code of Conduct - Acknowledgement, Date of Completion: 11/03/2022",2022-03-11 07:22:22+00:00,2018-10-29 04:39:42+00:00,False,dplh,SYD
1515250,93500,2215,1977222,Emergencies & Suspicious Behaviour,"Date of Completion: 17/07/2024 Emergencies & Suspicious Behaviour, Date of Completion: 17/07/2024",2024-07-17 09:51:29+00:00,2023-06-26 21:17:32+00:00,False,crownlearn,SYD
1178967,31839,2566,1183400,Compulsory Module 4: P4G EEO and Code of Conduct,"Date of Completion: 11/10/2022 Compulsory Module 4 - P4G EEO and Code of Conduct,Score: 93, Date of Completion: 11/10/2022",2022-10-11 08:46:04+00:00,2022-10-11 05:26:13+00:00,False,msssecurity,SYD
28182,1730,151,31856,Anti-Money Laundering & Counter Terrorism Financing Australia,"Date of Completion: 08/07/2025 Anti Money Laundering and Counter Terrorism Financing Australia, Date of Completion: 08/07/2025",2025-07-08 06:31:44+00:00,2024-07-07 23:08:42+00:00,False,money3,SYD
26646,399,49,5026,Sexual Harassment,"Date of Completion: 22/04/2022 Sexual Harassment, Date of Completion: 21/07/2022",2022-04-21 14:00:00+00:00,2023-01-12 04:48:59+00:00,False,pwcs,SYD
588966,30171,853,544650,[QXR] Workplace Injury Prevention & Manual Handling,"Date of Completion: 23/03/2024 QXR Workplace Injury Prevention,Score: 100, Date of Completion: 23/03/2024",2024-03-23 00:59:58+00:00,2022-04-20 21:29:28+00:00,False,sonic,SYD
29937,820,121,19333,Privacy and data protection awareness,"Date of Completion: 29/09/2022 Privacy and data protection awareness,Score: 90, Date of Completion: 29/09/2022",2022-09-28 23:32:59+00:00,2020-09-25 04:56:48+00:00,False,federation,SYD
1105,612,5,1747,Professional Boundaries,"Date of Completion: 27/09/2023 Professional Boundaries Policy Acknowledgement, Date of Completion: 27/09/2023",2023-09-27 00:33:15+00:00,2023-09-06 02:36:43+00:00,False,ctst,SYD
412335,242362,119,629843,Personal Protective Equipment,"Date of Completion: 01/12/2022 Personal Protective Equipment,Score: 90, Date of Completion: 01/12/2022",2022-12-01 07:18:17+00:00,2022-12-01 07:05:54+00:00,False,uomtrainme,SYD
136580,31622,75,256933,"Data management, security and privacy","Date of Completion: 24/01/2023 Data Management, security and privacy,Score: 90, Date of Completion: 24/01/2023",2023-01-24 04:50:16+00:00,2022-12-20 20:22:22+00:00,False,swinburne,SYD
2048582,45101,9919,1875715,GCPH - Manual Handling Skills Assessment,Date of Completion: 21/11/2019,2019-11-20 13:00:00+00:00,2018-11-25 22:01:30+00:00,False,healthscope,SYD
782449,29919,1075,1138263,Sonic IT Data and Information Classification Policy,"Date of Completion: 22/05/2025 Sonic IT Data and Information Classification Policy, Date of Completion: 22/05/2025",2025-05-22 01:00:04+00:00,2025-05-15 05:42:46+00:00,False,sonic,SYD
17482,423,137,24230,Bullying in the workplace (online),"Date of Completion: 09/05/2021 Bullying in the workplace,Score: 90, Date of Completion: 09/05/2021",2021-05-09 06:44:21+00:00,2021-04-27 04:29:26+00:00,False,dplh,SYD
170033,6127,13,275254,Medication Management: Assisting Clients,"Date of Completion: 26/03/2025 Medication Management: Assisting Clients, Date of Completion: 26/03/2025",2025-03-26 01:58:33+00:00,2025-03-13 00:23:26+00:00,False,anglicaresa,SYD
580,310,136,1132,Privacy Awareness (Sydney),"Date of Completion: 14/12/2016 Privacy Awareness (Sydney),Score: 90, Date of Completion: 14/12/2016",2016-12-14 09:45:39+00:00,2016-11-08 04:12:54+00:00,False,hlbmannjudd,SYD
965677,45700,2339,1321472,Cyber Security Awareness,"Date of Completion: 25/02/2022 Cyber Security Awareness, Date of Completion: 25/02/2022",2022-02-25 03:22:29+00:00,2022-02-01 23:03:44+00:00,False,crownlearn,SYD
2649808,39241,15721,4737094,Kronos MB23 - ACHA ESS Viewing your roster and open shifts,Date of Completion: 08/11/2020,2020-11-07 13:53:00+00:00,2020-11-07 08:47:55+00:00,False,healthscope,SYD
11094,802,43,13057,National Consumer Credit Protection Act Awareness,"Date of Completion: 24/10/2022 NCCP Act Awareness Module,Score: 90, Date of Completion: 24/10/2022",2022-10-24 00:07:08+00:00,2022-09-26 05:25:27+00:00,False,judobank,SYD
2059,76,27,1755,ACCC - Competition and Consumer Act Awareness - Managers,"Date of Completion: 09/09/2019 ACCC - Competition and Consumer Act Awareness - Managers,Score: 80, Date of Completion: 09/09/2019",2019-09-09 00:41:24+00:00,2019-07-17 00:48:36+00:00,False,peoplecare,SYD
1803464,65830,486,2964670,Healthscope - Hand Hygiene Program,"Date of Completion: 04/04/2019 HSP 8.10 Hand Hygiene, Date of Completion: 04/04/2019 Hand Hygiene Weblink - Acknowledgement, Date of Completion: 04/04/2019",2019-04-04 06:53:47+00:00,2019-02-07 21:18:26+00:00,False,healthscope,SYD
125813,26755,78,178047,OH&S Online module,"Date of Completion: 17/06/2022 CLICK TO BEGIN,Score: 95, Date of Completion: 17/06/2022",2022-06-17 08:04:25+00:00,2020-03-13 21:19:29+00:00,False,swinburne,SYD
