ID,MODULE,NAME,CLIENT_NAME,CLIENT_REGION,VALUE
894,company,crtManagerReportingScope,landcom,GOV,1
749,company,crtManagerReportingScope,opp,GOV,1
822,company,companyManagerAccessToReportBuilder,hrcsandpitgov,GOV,1
987,company,crtManagerReportingScope,loretonh,GOV,1
865,company,companyManagerAccessToReportBuilder,ndia,GOV,0
644,company,crtManagerReportingScope,tomorrowspeople,SYD,1
691,company,crtManagerReportingScope,digitalhealth,GOV,1
900,company,companyManagerAccessToReportBuilder,landcom,GOV,1
656,company,crtManagerReportingScope,lecc,GOV,1
866,company,crtManagerReportingScope,ndia,GOV,1
666,company,crtManagerReportingScope,hrcsandpitgov,GOV,1
