Job Role ID,Job Role Title,Job Role Description,Job Role Identifier,Job Role Skills and Experience,Job Role Created Date,Job Role Modified Date,CLIENT_NAME,CLIENT_REGION
185,Leading Hand Horticulture and Grounds,This role directs the Horticulture Team in maintaining the College facilities to ensure that the physical environment is exceptional. The purpose of the position is to utilise expert horticultural knowledge and skill while leading and engaging a team of gardeners to ensure the first class presentation of the College’s diverse gardens and grounds.,Leading Hand Horticulture and Grounds,,2026-02-01 22:49:38+00:00,2026-02-12 06:27:28+00:00,pymblelc,SYD
28,"Counsellor, Senior - ROSA - TSV","About the Position The Senior ROSA counsellor holds a case load of more complex ROSA clients and provides the TIPS service. The Senior ROSA counsellor also holds the additional role of providing a high level of support to the Manager in meeting service agreement, organisational goals and provision of mentorship to other team members in program around practice development, case conceptualisation and service delivery. To work collaboratively with the Program Manager and ROSA team towards best practice and high-quality therapeutic intervention for children and young people subject to statutory involvement and their care team. The Counselling and Intervention (ROSA) services are provided to children and young people under 18 years who are subject to statutory intervention and require support as a therapeutic response arising from a personal experience of physical, emotional or sexual abuse/harm and neglect. Counselling support is a targeted therapeutic response involving skilled and qualified practitioners listening attentively and patiently to the express feeling and circumstances of the child (and carer), perceiving difficulties from a child’s point of view, helping the child to see things differently and facilitating choice and positive change in the child’s life, conducted within a private and safe setting. The overall objective of counselling and intervention services is to increase the stability of care placements and support to families where ongoing intervention by the Department is required. A discreet component of Counselling and Intervention services is Outreach Placement Support. This activity is aligned to Counselling and Intervention in that it aims to achieve placement stability, but the placement may be at home following a period of residential care. This is referred to as TIPS within Centacare NQ. Key Responsibilities Include Provide support to children and young people with more complex and sensitive needs. Provide the TIPS service for the ROSA program through an attachment theory lenses. Complete assessment of child or young person’s needs through engagement and consultation with the family, the school/day care as needed, child safety and the carer. Complete the My Star outcome and develop a therapy plan for intervention based on assessment. Ensure consistent communication to Child Safety, maintaining reporting requirements as outlined in Information Provision to the Department of children, Youth Justice and Multicultural Affairs. Regular review of intervention plan goals through completion of subsequent outcome stars and progress reports and meetings with Child Safety as per procedure. Maintain clients’ files in accordance with program and agency procedures. Ensure working from a trauma informed and child development practice framework and utilizing evidenced based interventions. Complete regular safety assessments and discuss any safety concerns with line manager immediately as per policy. Participate and contribute to line management meetings, supervision, team meetings (which occur twice a fortnight) and staff days as required. Attend ROSA waitlist acceptance meetings with manager and engage in appropriateness of the referrals as they are received from the Department. Complete required administration tasks and ensure waitlist and csnet data is put in correctly. Demonstrate leadership by coaching, mentoring and motivating team members to achieve program goals; including assisting with induction of new staff and supporting staff in case conceptualisation and planning and completing sit in as required. Support and assist line manager as required and where appropriate and take initiative when opportunities exist. This includes around program development and business planning, team building, supporting staff at meetings as directed by Manager. To ensure job flexibility the role may be required to perform any other duties as nominated by Centacare North Queensland consistent with the classification descriptors detailed in the Social, Community, Home Care and Disability Services Industry Award 2010.","C, Sr - RO - TSV","Qualifications & Experience The Position Requires Possession of a relevant degree in social work of psychology and a minimum of three years’ experience working therapeutically with children and young people who have experienced trauma. Demonstrated ability to impart knowledge and skills using a range of theoretical frameworks in a creative and flexible way regarding trauma informed practice. Understanding of core therapeutic framework and approaches. which underpin the program which are attachment theory, Developmental theory, trauma focussed CBT , Narrative Therapy and Expressive Therapy. Highly developed communication skills both written and verbal for working with a broad-based network of service providers and culturally diverse clientele. Knowledge of and understanding of the issues that impact on Aboriginal and Torres Strait Islander people in contemporary society. Demonstrated ability to communicate effectively and sensitively with Aboriginal and Torres Strait Islander people. An ability to understand and describe the impact of childhood trauma on behaviour, emotional regulation, attachment and approaches to support the child or young person and care team understand these impacts and therapeutic approaches to support Demonstrated ability to undertake risk assessments relating to suicidal ideation and child protection concerns and capacity to liaise with manage to ensure client safety. Demonstrated organizational, time management and administration skills. Sound understanding of program procedures and the child protection system. Demonstrated ability of Leadership, guidance support and guidance to staff independently. Current open drivers’ licence. Current, and ability to retain, both a Working with Children Blue Card check and Disability services Yellow Card. Desirable Knowledge skills and experience in one or more of the following – Group work, community education and training and Indigenous services. Relevant experience in Community Services and or within a Not-For-Profit or Faith Based sectors.",2024-08-16 01:37:43+00:00,2024-08-19 04:23:58+00:00,centacarenq,SYD
4,Accounting Manager,"The Accounting Manager at Company Name will play a pivotal role in overseeing the financial operations of the organisation. This position requires a meticulous individual with strong leadership skills, who can manage the accounting department effectively while ensuring compliance with relevant regulations and standards. **Responsibilities include:** Leading the accounting team to ensure accurate and timely financial reporting. Preparing monthly, quarterly, and annual financial statements in accordance with applicable accounting standards. Managing the budgeting process, including preparation, monitoring, and variance analysis. Overseeing accounts payable and receivable functions to ensure proper cash flow management. Performing regular audits of financial statements to identify discrepancies and implement corrective actions. Ensuring adherence to tax regulations by preparing necessary tax returns and maintaining accurate records. Developing and implementing internal controls to safeguard company assets. Providing insights into cost management strategies and profitability enhancement initiatives. Liaising with external auditors during annual audits and addressing any findings or recommendations made. Staying up-to-date with changes in financial regulations and best practices to ensure compliance. The ideal candidate will possess excellent analytical skills, attention to detail, and the ability to communicate financial information clearly across departments. The Accounting Manager will also be responsible for mentoring junior staff members, fostering a collaborative environment within the finance team.",AM1,"Required skills Proficient in accounting software (e.g., Sage, QuickBooks, or similar) Strong understanding of financial regulations and compliance Excellent analytical and problem-solving abilities Effective communication skills, both verbal and written Ability to manage and lead a team effectively High level of attention to detail and accuracy Strong organisational skills with the ability to prioritise tasks Required experiences A minimum of 5 years of experience in accounting or finance roles, with at least 2 years in a managerial position Demonstrated experience in preparing financial reports and forecasts Experience with budgeting processes and cost control measures Proven track record of implementing accounting systems or process improvements Experience in managing audits and liaising with external auditors Keen understanding of tax legislation and compliance requirements",2025-06-20 01:57:50+00:00,2026-02-17 00:31:59+00:00,effectivehr,SYD
6,Financial Analyst,"A Financial Analyst supports the FP&A team by performing data collection, basic financial modeling, variance analysis, and report generation. This role assists in the budgeting and forecasting processes, prepares presentations, and contributes to ad-hoc financial projects. They are crucial in providing foundational data and analysis to support strategic financial decisions.",FA1,"Excel Proficiency: Formulas, basic functions, data organization. Data Collection & Entry: Accurate and efficient gathering of financial data. Basic Financial Modeling: Creating simple financial projections and analyses. Report Generation: Assisting in the preparation of standard financial reports. Attention to Detail: Ensuring accuracy in data and calculations. Learning Agility: Eagerness to learn and develop financial analysis skills. Communication: Clearly presenting findings.",2025-06-20 01:59:53+00:00,2026-04-21 02:20:35+00:00,producttrainingsite,SYD
162,Rural and Regional Yazidi Women's Project officer   Wagga Wagga,This position will be working within STARTTS Rural and Regional Community Development Team to enhance the infrastructure and capacity of women and girls in Wagga Wagga Yazidi community with the aim of creating a supportive environment and delivering wellbeing interventions. The position will also provide appropriate groupwork interventions using a culturally congruent approach.,1070-W,"ESSENTIAL REQUIREMENTS: 1. Relevant qualifications (Health Education Officer, Social Work, Psychology, Social Sciences, Youth Work or other relevant) or extensive experience working with Ezidi-speaking communities. 2. Thorough knowledge of the culture, history, and current issues of refugees from the Ezidi-speaking communities now residing in NSW. 3. Understanding of refugee issues and the effects of torture on individuals, families and communities with a particular focus on survivors of captivity. 4. Experience in community liaison, internal/external stakeholder liaison, community development and/or community work in Wagga Wagga. 5. Demonstrated Group Work skills and experience working with Yazidi/Ezidi women 6. Excellent oral, written & interpersonal communication skills and proficiency in the use of Microsoft Office and the ability to work independently and as part of a multidisciplinary team within a multicultural environment. 7. Bilingual in English and Ezidi and/or Kurmanji community language relevant to Wagga Wagga, NSW. 8. Current NSW Driver’s licence.",2025-10-01 00:43:13+00:00,2025-10-01 00:43:13+00:00,startts,SYD
57,Finance & Administration Assistant,"The Accounts & Finance Assistant is responsible for providing high-level administrative and system support to the accounting and finance team. This role required strong organisational and time management skills, attention to detail, and a proactive attitude.",Finance & Administration Assistant,"Certificate in management, business administration, or accounting. Proficiency in Jobpac or similar accounting software. High level of accuracy and attention to detail. Proficient in MS Office, especially MS Excel. Demonstrates a consistent track record of upholding Dasco’s core values of excellence, respect, partnership, reliability, and safety in all aspects of work, with a proactive approach to applying these principles in day-to-day responsibilities",2025-07-17 01:01:54+00:00,2025-07-17 01:01:54+00:00,dasco,SYD
13,Rostering Officer,"The Rostering Officer at Lutheran Disability Services plays a crucial role in ensuring that the staffing needs of the organization are met effectively and efficiently. This position involves coordinating and managing staff schedules to provide optimal support for clients while maintaining compliance with relevant regulations and policies. Key Responsibilities: Develop, implement, and maintain effective rostering systems that align with service delivery requirements. Coordinate staff rosters to ensure adequate coverage across various programs and services. Monitor attendance, leave requests, and shift changes to optimize workforce allocation. Communicate with staff regarding roster changes, availability, and any scheduling issues. Collaborate with management to address staffing shortages or surpluses and adjust rosters accordingly. Maintain accurate records of staff hours worked, leave balances, and other relevant data. The successful candidate will be proactive in problem-solving, possess strong organizational skills, and demonstrate a commitment to providing high-quality service to both staff and clients within the disability sector.",Rostering Officer,"Required skills Strong organizational and time management skills Proficient in rostering software and scheduling tools Excellent communication and interpersonal abilities Attention to detail and ability to maintain accuracy under pressure Problem-solving skills and the ability to think critically Ability to work collaboratively within a team environment Understanding of relevant legislation and compliance requirements in disability services Required experiences A minimum of 2 years experience in a rostering or scheduling role, preferably within the healthcare or disability sector Experience with workforce management systems or similar scheduling software Demonstrated experience in managing staff rosters effectively while adhering to budget constraints Previous experience working with diverse teams and understanding their needs in service delivery settings Familiarity with employee relations, including handling conflicts or issues related to staffing schedules",2026-05-25 03:34:59+00:00,2026-05-25 03:34:59+00:00,ldssa,SYD
93,Senior Planner,Senior Demand Planner in the Shipping and Planning Team,Senior Planner,,2026-04-29 00:35:16+00:00,2026-04-29 00:35:16+00:00,mayers,SYD
80,Warehouse Storeperson,"The Store Person at Miraka Port Store is responsible for assisting and supporting the port store operation. The focus of this role is to ensure stock accuracy is maintained and stock related transactions are timely. Key Result Area Duties and Responsibilities Expected Outcomes Port Store Load finished goods into containers making sure all goods going into the container are scanned and the driver is provided with the relevant paperwork for container delivery. Unload raw materials out of containers making sure to check all product against packing list, receipt goods in Navision and report any damages to Store Supervisor. Load raw materials onto trucks making sure to check all product against the transfer order and ensuring the driver is provided with the relevant transfer order and consignment note. Move finished goods and raw materials around warehouse as required. Weekly and monthly stock checks. Daily forklift checks recorded and filed. Rubbish removal and co-ordination with rubbish collection provider. Communication with Mokai Warehouse regarding truck departures, arrivals, transfer issues. Record and communicate all damages from warehouse activity. Daily cleaning of warehouse. Productivity and efficiency related targets are achieved. Compliance against all regulatory requirements are achieved to the highest standards. Process improvements are implemented. Accurate and detailed information flow through required operational reporting. Environment Health, Safety & Risk Management and Compliance Participate and support the health, safety and risk management plans to ensure OSH compliance and minimise the Company’s exposure in all ways. Provides and maintains a healthy and safe work environment in the Plant. OSH and environmental management plans are implemented and managed. Incident rates and LTI reduction plans are implemented and achieved. The Port Store is a safe and healthy environment to work in through good housekeeping and timely identification and correction of all hygiene and safety issues and incidents. Relationship Management Takes responsibility for developing effective working relationships and liaison with all site team members to ensure a highly motivated, supportive and nurturing culture is adopted. Participate and support in the development of a committed culture of success and nurturing the growth and development of its people and resources. Effective working relationships exist with all site team members. Company pledge and values Understand and act in accordance with the company pledge and values. The Miraka pledge and values are understood and the required outcomes are achieved. Other Carry any other responsibilities as may be reasonably required and requested from time to time in the interests of the Company. The Company’s best interests are served at all times.",Warehouse Storeperson,"Qualifications and Technical Skills School certificate, 6th Form certificate or equivalent. Related industry experience desirable. Forklift license essential. Push Pull experience preferred. Computer skills with high accuracy. Experience and knowledge required for effective performance in the position Clear and accurate communication. Good time keeping and self-motivation. Maintaining strong relationships with staff. Participation and support in the adoption of strong OSH, manufacturing, quality control and cost control disciplines. Participation in the implementation and review of processes and procedures to improve efficiencies and compliance. Fostering a culture that is consistent with the values of Miraka. Experience working with Māori Trusts, Incorporations and organisation’s Demonstrated understanding of Māori protocols and values",2025-05-07 02:08:37+00:00,2025-08-28 03:16:47+00:00,miraka,SYD
32,Director of Engineering & Infrastructure,"The Director of Engineering & Infrastructure at Mornington Shire Council plays a pivotal role in shaping and delivering the strategic vision for the engineering and infrastructure sectors within the council. This senior leadership position requires an individual with exceptional managerial skills, technical expertise, and a strong commitment to community service. **Key Responsibilities:** The successful candidate will be responsible for: Leading the Engineering & Infrastructure team, ensuring high performance through effective management and development of staff. Overseeing the planning, design, implementation, and maintenance of public infrastructure projects including roads, bridges, parks, and utilities. Developing and managing budgets for various engineering projects while ensuring compliance with relevant legislation and standards. Collaborating with other departments and stakeholders to ensure integrated approaches to infrastructure development that meet community needs. Providing expert advice to council on engineering issues and contributing to long-term strategic planning initiatives. Ensuring that all engineering operations are conducted safely, efficiently, and sustainably. Engaging with the community to communicate project updates and gather feedback on infrastructure services. Identifying opportunities for innovation in engineering practices to enhance service delivery and operational efficiency. This role demands an individual who can inspire teams while fostering a culture of collaboration and excellence in service delivery. The Director will also be expected to stay abreast of emerging trends in engineering technologies and best practices within local government frameworks.",Director of Engineering & Infrastructure-Stream A-Level 8 or Senior Officer Contract,"Required skills Strong leadership and team management abilities Expertise in software development methodologies and project management Proficient in infrastructure design, implementation, and maintenance Excellent problem-solving and analytical skills Ability to communicate complex technical concepts to non-technical stakeholders Knowledge of budget management and resource allocation Familiarity with compliance standards and regulatory requirements in engineering and infrastructure Proficient in modern programming languages and technologies relevant to the role Required experiences A minimum of 10 years’ experience in engineering or infrastructure roles, with at least 5 years in a leadership position Demonstrable experience managing large-scale engineering projects from inception to completion Experience working within a local government or public sector environment is preferred Track record of successfully developing and implementing strategic plans for engineering and infrastructure initiatives Experience collaborating with cross-functional teams and external stakeholders such as vendors, contractors, and regulatory bodies Evidenced history of driving innovation within engineering practices or infrastructure systems A proven ability to manage change effectively within an organisation’s structure or processes",2025-04-10 01:57:45+00:00,2026-07-02 00:24:22+00:00,mornington,SYD
