CLIENT_NAME,CLIENT_REGION,DOCUMENT_TEMPLATE_COLLATE_ID,DOCUMENT_TEMPLATE_ID,FORM_FIELD_COLLATE_ID,DOCUMENT_COLUMN_LABEL,DOCUMENT_COLUMN_DESCRIPTION,DOCUMENT_COLUMN_TYPE,DOCUMENT_COLUMN_DATA_TYPE,DOCUMENT_COLUMN_NAME,NS_DOCUMENT_COLUMN_NAME,IS_CURRENT
epagency,SYD,76,90,782,Country of Issue,,single_text,VARCHAR,S3,S3,True
transpower,SYD,37,48,448,Extra Information,"Any additional information, is there a meeting that you must be at?",textArea,,S11,S11,True
auditwa,SYD,5,5,4,Preferred Name,"If you&#39;d like to be known by a different name, please let us know.",single_text,VARCHAR,S3,S3,True
disasterreliefaus,SYD,23,23,249,Additional Comments / Special Conditions,,textArea,,S8,S8,True
perfection,SYD,255,259,2225,Is there anything you would you change about the role?,,textArea,,S5,S5,True
qhvsg,SYD,73,73,767,"If Other, please provide details",,textArea,,S16,S16,True
crv,SYD,754,1711,8590,Manager to check if Sales Consultants - PPE Gear to be returned in vehicle,List of items to be returned by Sales Consultant:,checkbox,VARCHAR,S8,S8,True
medline,SYD,131,132,1094,Development Area 3 (optional),What gaps do you need to work on? What are your areas for improvement?,textArea,,S20,S20,True
powerwater,SYD,287,289,1495,7. Are there specific projects or tasks you have in mind for the employee to apply their newfound skills and knowledge?,,textArea,,S11,S11,True
eastpallcare,SYD,403,592,1853,2.	MANAGER comments,,textArea,,S21,S21,True
sonder,SYD,62,1281,2792,"If a new Manager, who will be their direct reports?","Please list names of employees who will report to the new Line Manager, alternatively at later date a 'Contract Variation - Change in Line Manager' to be submitted.",textArea,,S17,S17,True
crv,SYD,131,1714,2551,9.  Date,,date,DATE_TIME,D1,D1,True
ermha,SYD,434,672,6290,Please briefly describe the change you are trying to make.,"NOTE: Please ensure you provide relevant context and details here, particularly if the change involves a reduction in hours, such as what conversations / consultations have taken place (verbally or in writing). This helps us ensure that we’re all aligned and able to support staff as effectively as possible.",textArea,,S2,S2,True
clevertronics,SYD,346,428,168,Comments,Please provide any other details regarding the termination,textArea,,S10,S10,True
mortco,SYD,97,156,1347,Roster Change,Please select the appropriate roster pattern the employee is moving to,checkbox,VARCHAR,S13,S13,True
connectiv,SYD,466,466,567,"Was any action taken by your manager to retain your services after you've voiced having another opportunity? If so, what?",,textArea,,S23,S23,True
wodencommunityservice,SYD,255,255,1977,"2.	Can you please describe the candidate’s communication, interpersonal and influencing skills? Are they good at forming relationships? Can they confidently liaise with people at all levels?",,textArea,,S7,S7,True
hiqgroup,SYD,110,131,20,Date of Birth,,date,DATE_TIME,D1,D1,True
sctlogistics,SYD,753,2101,5840,"If yes, list past of pending criminal convictions, disclosable outcomes or items",List dates and details of the offence,textArea,,S36,S36,True
cheil,SYD,41,426,500,Has the room been booked with an additional 15min set-up and 15min clean-up time?,,radio,VARCHAR,S4,S4,True
unitigrouplimited,SYD,401,480,2797,Re-employability Comments,,textArea,,S14,S14,True
solsticeenergy,SYD,37,77,454,Extra Information,"Any additional information, is there a meeting that you must be at?",textArea,,S16,S16,True
eastpallcare,SYD,663,663,3216,2.	MANAGER comments,,textArea,,S19,S19,True
kickininn,SYD,148,148,2368,"Question 1: Out of all the verticals on the attached, which do you have the most influence?",,textArea,,S1,S1,True
ybrbrokers,SYD,10,10,64,Please briefly describe the change you are trying to make.,,textArea,,S2,S2,True
