Enrolment Id,USER_ID,COURSE_ID,Enrolment Method,Enrolment Status,Enrolment Cost,Enrolment First Enrolled Date,Enrolment Due Date,Enrolment Start Date,Enrolment Completion Date,Enrolment Created Date,Enrolment Modified Date,Enrolment Assignment Rule,Enrolment Retrain In Period,Enrolment Retrain Open In Period,Enrolment Retrain Date,Enrolment Retrain Open Date,Enrolment Is Retrain Overdue,Enrolment Is Enrolment Overdue,Enrolment Overdue Days,Enrolment Retrain Overdue Days,CLIENT_NAME,CLIENT_REGION
7274,937,49,Manual,In Progress,0.0,2026-04-28 00:52:26+00:00,2026-05-05 00:52:26+00:00,2026-04-28 02:31:32+00:00,,2026-04-28 00:52:26+00:00,2026-04-28 02:31:32+00:00,,12 MONTHS,30 DAYS,,,False,True,64,0,assuredhomecare,SYD
936,1015,13,Rule,Not Yet Started,0.0,2022-08-29 14:32:04+00:00,2023-08-29 14:32:04+00:00,,,2022-08-29 14:32:04+00:00,2022-08-29 14:32:04+00:00,,12 MONTHS,10 MONTHS,,,False,True,1044,0,uat3,SYD
83999,848,596,Manual,Completed,0.0,2024-06-07 04:35:29+00:00,2025-08-10 23:29:11+00:00,2025-07-13 23:55:03+00:00,2025-07-14 00:05:07+00:00,2024-06-07 04:35:29+00:00,2025-07-14 00:05:07+00:00,,12 MONTHS,7 DAYS,2026-07-14 00:05:07+00:00,2026-07-07 00:05:07+00:00,False,False,0,0,australianmilitarybank,SYD
37958,1300,35,Rule,Completed,0.0,2026-02-20 00:43:29+00:00,2026-03-06 00:43:29+00:00,2026-03-10 05:00:46+00:00,2026-03-10 05:00:52+00:00,2026-02-20 00:43:29+00:00,2026-03-10 05:00:53+00:00,All Staff,0 MONTHS,0 DAYS,,,False,False,0,0,earlysettler,SYD
37962,1300,61,Rule,Not Yet Started,0.0,2026-02-20 00:43:30+00:00,2026-03-20 00:43:30+00:00,,,2026-02-20 00:43:30+00:00,2026-02-20 00:43:30+00:00,All Staff,0 MONTHS,0 DAYS,,,False,True,110,0,earlysettler,SYD
30289,1162,277,Manual,In Progress,0.0,2023-06-05 22:34:54+00:00,2026-06-28 06:57:44+00:00,2026-04-12 07:37:24+00:00,2025-03-28 05:57:44+00:00,2023-06-05 22:34:54+00:00,2026-04-12 07:37:24+00:00,,12 MONTHS,1 MONTHS,2026-03-28 05:57:44+00:00,2026-02-28 05:57:44+00:00,True,True,10,102,cardinia,SYD
3836653,2181,12904,Rule,Not Yet Started,0.0,2026-05-15 01:25:14+00:00,2026-05-29 01:25:14+00:00,,,2026-05-15 01:25:14+00:00,2026-05-15 01:25:14+00:00,GCPH - Emergency + Warden Videos,6 MONTHS,2 WEEKS,,,False,True,40,0,healthscopeelearning,SYD
283,129,29,Manual,Completed,0.0,2018-03-21 23:17:46+00:00,2018-04-18 23:17:46+00:00,2018-04-27 01:31:07+00:00,2018-04-27 01:32:45+00:00,2018-03-21 03:09:35+00:00,2018-04-27 01:32:45+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,daikin,SYD
617137,14125,1801,Rule,Not Yet Started,0.0,2026-03-09 02:06:18+00:00,2026-03-30 02:06:18+00:00,,,2026-03-09 02:06:18+00:00,2026-03-09 02:06:18+00:00,Updated Site safety at hilton foods induction module,24 MONTHS,2 WEEKS,,,False,True,100,0,hiltonfoods,SYD
57642,1469,70,Rule,Completed,0.0,2026-02-10 02:56:12+00:00,2026-05-10 02:56:12+00:00,2026-02-17 06:47:35+00:00,2026-02-17 06:51:16+00:00,2026-02-10 02:56:12+00:00,2026-02-17 06:51:16+00:00,"13. Quality, Compliance and Privacy",0 MONTHS,0 DAYS,,,False,False,0,0,rw,SYD
904014,13282,474,Rule,Not Yet Started,0.0,2026-07-03 00:43:52+00:00,2026-10-03 00:43:52+00:00,,,2026-07-03 00:43:52+00:00,2026-07-03 00:43:52+00:00,All New Staff,12 MONTHS,28 DAYS,,,False,False,0,0,clinicallabs,SYD
38025,1219,125,Rule,Completed,0.0,2025-08-13 04:37:49+00:00,,2025-08-28 12:01:55+00:00,2025-08-28 12:04:22+00:00,2025-08-13 04:37:49+00:00,2025-08-28 12:04:22+00:00,Kickin'Inn Training Module: The Supremacy of a Symbol,0 MONTHS,0 DAYS,,,False,False,0,0,kickininn,SYD
2526,264,19,Rule,Completed,0.0,2024-02-16 04:36:26+00:00,2026-06-04 23:16:40+00:00,2026-06-04 23:38:55+00:00,2026-06-04 23:50:42+00:00,2024-02-16 04:36:26+00:00,2026-06-04 23:50:42+00:00,Mandatory eLearning modules for specific targeted audience (employees and managers),24 MONTHS,1 MONTHS,2028-06-04 23:50:42+00:00,2028-05-04 23:50:42+00:00,False,False,0,0,denniscorp,SYD
20077,1239,41,Manual,Completed,0.0,2024-10-27 06:05:02+00:00,,2024-10-29 14:00:28+00:00,2024-10-29 14:03:26+00:00,2024-10-27 06:05:02+00:00,2024-10-29 14:03:26+00:00,,24 MONTHS,1 MONTHS,2026-10-29 14:03:26+00:00,2026-09-29 14:03:26+00:00,False,False,0,0,gooddrinks,SYD
2151,198,71,Manual,Not Yet Started,0.0,2024-03-11 22:35:28+00:00,,,,2025-01-13 02:17:23+00:00,2025-01-13 02:17:23+00:00,,12 MONTHS,30 DAYS,,,False,False,0,0,csm5golden,SYD
649614,12269,591,Rule,Not Yet Started,0.0,2026-03-06 03:03:57+00:00,,,,2026-03-06 03:03:57+00:00,2026-03-06 03:03:57+00:00,Post Induction Urban Aged Care,12 MONTHS,1 WEEKS,,,False,False,0,0,catercare,SYD
3410,1796,31,Rule,Not Yet Started,0.0,2025-09-16 06:39:42+00:00,2025-09-23 06:39:42+00:00,,,2024-07-16 05:29:32+00:00,2025-09-16 06:39:42+00:00,Read and Review Aje Athletica Casual Stylist Benefit Scheme,0 MONTHS,0 DAYS,,,False,True,288,0,ajeworld,SYD
3254,126,85,Manual,Not Yet Started,0.0,2026-03-31 04:36:24+00:00,,,,2026-03-31 04:36:24+00:00,2026-03-31 04:36:24+00:00,,24 MONTHS,14 DAYS,,,False,False,0,0,stihl,SYD
461,540,13,Rule,Not Yet Started,0.0,2022-08-29 14:30:52+00:00,2023-08-29 14:30:52+00:00,,,2022-08-29 14:30:52+00:00,2022-08-29 14:30:52+00:00,,12 MONTHS,10 MONTHS,,,False,True,1044,0,uat3,SYD
39247,928,1384,Rule,Not Yet Started,0.0,2026-04-20 23:12:25+00:00,2026-05-04 23:12:25+00:00,,,2026-04-20 23:12:25+00:00,2026-04-20 23:12:25+00:00,Conditions of Employment,0 DAYS,0 DAYS,,,False,True,65,0,kempseysc,SYD
72298,3063,531,Rule,Completed,0.0,2025-03-18 20:12:41+00:00,2025-04-22 21:12:41+00:00,2025-03-26 03:20:40+00:00,2025-03-26 03:51:23+00:00,2025-03-18 20:12:41+00:00,2025-03-26 03:51:23+00:00,City of Stonnington - Procurement Policy,0 MONTHS,0 DAYS,,,False,False,0,0,cos,SYD
26361,1561,531,Rule,Completed,0.0,2022-06-20 05:59:04+00:00,2022-07-25 05:59:04+00:00,2022-06-22 22:46:53+00:00,2022-06-23 00:20:18+00:00,2022-06-20 05:59:04+00:00,2022-06-23 00:20:18+00:00,City of Stonnington - Procurement Policy,0 MONTHS,0 DAYS,,,False,False,0,0,cos,SYD
22098,2065,19,Manual,Completed,0.0,2018-09-13 22:08:37+00:00,2018-09-27 22:08:37+00:00,2018-09-18 10:57:00+00:00,2018-09-18 11:03:01+00:00,2018-09-13 22:08:37+00:00,2018-09-18 11:03:01+00:00,,0 MONTHS,4 WEEKS,,,False,False,0,0,mcec,SYD
5729,832,19,Rule,Not Yet Started,,2015-06-26 02:04:02+00:00,2015-07-10 02:04:02+00:00,,,2015-06-26 02:04:02+00:00,2015-06-26 02:04:02+00:00,All non Managers,0 MONTHS,4 WEEKS,,,False,True,4016,0,mcec,SYD
8693,501,2,Rule,Not Yet Started,0.0,2024-02-28 12:16:53+00:00,,,,2024-02-28 12:16:53+00:00,2024-02-28 12:16:53+00:00,Inactive Assignment Rule,0 MONTHS,0 DAYS,,,False,False,0,0,supportlms,SYD
