Enrolment Id,USER_ID,COURSE_ID,Enrolment Method,Enrolment Status,Enrolment Cost,Enrolment First Enrolled Date,Enrolment Due Date,Enrolment Start Date,Enrolment Completion Date,Enrolment Created Date,Enrolment Modified Date,Enrolment Assignment Rule,Enrolment Retrain In Period,Enrolment Retrain Open In Period,Enrolment Retrain Date,Enrolment Retrain Open Date,Enrolment Is Retrain Overdue,Enrolment Is Enrolment Overdue,Enrolment Overdue Days,Enrolment Retrain Overdue Days,CLIENT_NAME,CLIENT_REGION
10485,410,16,Rule,Completed,0.0,2025-05-23 04:05:47+00:00,2025-06-23 04:05:47+00:00,2025-06-29 20:27:22+00:00,2025-06-29 20:27:32+00:00,2025-05-23 04:05:47+00:00,2025-06-29 20:27:32+00:00,HR-POL-02.03 Equal Employment Opportunity,0 MONTHS,0 DAYS,,,False,False,0,0,shamrockcivil,SYD
63240,2537,1317,Manual,In Progress,0.0,2026-04-29 03:06:46+00:00,2026-05-20 03:06:46+00:00,2026-04-29 05:50:12+00:00,,2026-04-29 03:06:46+00:00,2026-04-29 05:50:12+00:00,,0 MONTHS,0 DAYS,,,False,True,49,0,heritagelifecare,SYD
3818596,85669,1844,Rule,Not Yet Started,0.0,2026-05-08 05:04:26+00:00,2026-05-22 05:04:26+00:00,,,2025-08-29 03:12:09+00:00,2026-05-08 05:04:26+00:00,AU SEC ALL - TBT August 2025 (Ended 31/08/2025),0 MONTHS,0 DAYS,,,False,True,47,0,wilson,SYD
101771,4112,254,Rule,Completed,0.0,2026-04-17 04:11:28+00:00,2026-04-24 04:11:28+00:00,2026-04-21 22:58:26+00:00,2026-04-29 04:47:06+00:00,2026-04-17 04:11:28+00:00,2026-04-29 04:47:06+00:00,Member facing - non manager,0 MONTHS,0 DAYS,,,False,False,0,0,australianmilitarybank,SYD
11263,1369,19,Rule,Completed,,2018-01-12 02:26:54+00:00,2019-03-12 10:55:29+00:00,2019-02-04 21:24:07+00:00,2019-02-04 21:28:37+00:00,2016-10-15 17:15:43+00:00,2019-02-04 21:28:37+00:00,All non Managers,0 MONTHS,0 DAYS,,,False,False,0,0,mcec,SYD
27514,1623,41,Manual,Completed,0.0,2025-12-08 06:18:43+00:00,,2025-12-09 02:46:37+00:00,2025-12-09 02:48:03+00:00,2025-12-08 06:18:43+00:00,2025-12-09 02:48:03+00:00,,24 MONTHS,14 MONTHS,2027-12-09 02:48:03+00:00,2026-10-09 02:48:03+00:00,False,False,0,0,gooddrinks,SYD
137,290,5,Manual,Completed,0.0,2026-04-24 01:38:37+00:00,2026-05-08 01:38:37+00:00,2026-04-29 02:31:02+00:00,2026-04-29 02:32:43+00:00,2026-04-24 01:38:37+00:00,2026-04-29 02:32:44+00:00,,12 MONTHS,30 DAYS,2027-04-29 02:32:43+00:00,2027-03-30 02:32:43+00:00,False,False,0,0,jpflynn,SYD
2935,874,12,Manual,Not Yet Started,0.0,2026-04-29 00:48:52+00:00,2026-05-13 00:48:52+00:00,,,2026-04-29 00:48:52+00:00,2026-04-29 00:48:52+00:00,,24 MONTHS,14 DAYS,,,False,True,56,0,cowracouncil,SYD
10109,1303,29,Manual,Completed,0.0,2026-04-28 14:12:37+00:00,2026-05-28 14:12:37+00:00,2026-04-29 01:56:58+00:00,2026-04-29 01:57:18+00:00,2026-04-28 14:12:37+00:00,2026-04-29 01:57:18+00:00,,0 DAYS,0 DAYS,,,False,False,0,0,ctst,SYD
16141,1682,19,Rule,Recompletion Required,,2017-10-24 17:15:10+00:00,2021-01-24 04:57:59+00:00,2020-01-10 04:49:50+00:00,2020-01-10 04:57:59+00:00,2017-10-24 17:15:10+00:00,2020-09-09 19:37:52+00:00,All non Managers,0 MONTHS,0 DAYS,,,False,True,0,0,mcec,SYD
63546,3128,1317,Manual,In Progress,0.0,2026-04-29 03:07:18+00:00,2026-05-20 03:07:18+00:00,2026-04-29 04:47:05+00:00,,2026-04-29 03:07:18+00:00,2026-04-29 04:47:05+00:00,,0 MONTHS,0 DAYS,,,False,True,49,0,heritagelifecare,SYD
