Job Role ID,Job Role Title,Job Role Identifier,Job Role Created Date,CLIENT_NAME,CLIENT_REGION
227,Senior Business Advisor,JR286,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
160,Machine Operator,JR183,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
173,Mechanical Supervisor - Construction,JR200,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
235,Senior Electrician,JR297,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
253,Site Superintendent,JR325,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
279,Commissioning Technician,JR359,2025-01-10 22:21:20+00:00,hrcsandpitgov,GOV
178,Managing Director,JR210,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
258,Senior Document Controller,JR331,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
283,mysql8-3,mysql8-3,2025-01-10 23:33:52+00:00,hrcsandpitgov,GOV
226,Senior Applications Engineer,JR285,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
180,Operations Centre Specialist,JR215,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
201,Project Accountant,JR248,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
237,Senior Group Accountant,JR300,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
167,Mechanical Designer,JR194,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
161,Maintenance Planner,JR184,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
278,Group Legal Counsel,JR361,2025-01-10 22:21:20+00:00,hrcsandpitgov,GOV
197,Production Manager,JR241,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
176,Mechanical Draftsperson,JR206,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
190,Principal Applications Engineer - BESS,JR232,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
263,Spray Painter,JR336,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
275,Vacation Student,JR357,2025-01-10 22:21:20+00:00,hrcsandpitgov,GOV
277,High Voltage Manager,JR360,2025-01-10 22:21:20+00:00,hrcsandpitgov,GOV
274,Truck Driver,JR355,2025-01-10 22:21:20+00:00,hrcsandpitgov,GOV
282,mysql8-2,mysql8-2,2025-01-10 23:33:52+00:00,hrcsandpitgov,GOV
224,Senior Trade - Comissioning,JR282,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
