Job Role ID,Job Role Title,Job Role Identifier,Job Role Created Date,CLIENT_NAME,CLIENT_REGION
24,Warehouse Storeperson,Warehouse Storeperson,2026-04-29 00:08:21+00:00,doorsplus,SYD
40,National Sales & Marketing Manager - Chocolate Patisserie & HORECA,National Sales & Marketing Manager - Chocolate Patisserie & HORECA,2026-04-29 00:35:14+00:00,mayers,SYD
81,Brand Manager: Lurpak,Brand Manager: Lurpak,2026-04-29 00:35:16+00:00,mayers,SYD
27,LRN National Sales Manager,LRN National Sales Manager,2026-04-29 00:35:13+00:00,mayers,SYD
28,Sales Development and Leadership Specialist,Sales Development and Leadership Specialist,2026-04-29 00:08:21+00:00,doorsplus,SYD
64,National Sales Manager - Foodservice,National Sales Manager - Foodservice,2026-04-29 00:35:15+00:00,mayers,SYD
23,Inventory Controller,Inventory Controller,2026-04-29 00:35:13+00:00,mayers,SYD
15,National Customer Care Manager,National Customer Care Manager,2026-04-29 00:08:20+00:00,doorsplus,SYD
24,IT Manager,IT Manager,2026-04-29 00:35:13+00:00,mayers,SYD
78,Consultant - Retail,Consultant - Retail,2026-04-29 00:35:16+00:00,mayers,SYD
98,Head of Finance,JP_MANAGER_FINANCE,2026-04-29 01:31:17+00:00,taptmedia,SYD
39,National Account Manager - Woolworths,National Account Manager - Woolworths,2026-04-29 00:35:14+00:00,mayers,SYD
19,Sales Consultant,Sales Consultant,2026-04-29 00:08:20+00:00,doorsplus,SYD
67,Business Development Manager,Business Development Manager,2026-04-29 00:35:15+00:00,mayers,SYD
50,Data Analyst,Data Analyst,2026-04-29 00:08:22+00:00,doorsplus,SYD
86,Director of Sales,Director of Sales,2026-04-29 00:35:16+00:00,mayers,SYD
34,Installation Professional,Installation Professional,2026-04-29 00:08:21+00:00,doorsplus,SYD
11,ELMO CSM [Drew],001,2026-04-29 01:10:11+00:00,elmoassessment,SYD
32,Marketing and Communications Manager,Marketing and Communications Manager,2026-04-29 00:35:13+00:00,mayers,SYD
13,CFO,CFO,2026-04-29 00:35:12+00:00,mayers,SYD
11,Assistant Accountant,Assistant Accountant,2026-04-29 00:35:12+00:00,mayers,SYD
58,Inventory Co-Ordinator,Inventory Co-Ordinator,2026-04-29 00:35:15+00:00,mayers,SYD
22,IT Support,IT Support,2026-04-29 00:08:21+00:00,doorsplus,SYD
90,Digital Media Specialist,Digital Media Specialist,2026-04-29 00:35:16+00:00,mayers,SYD
9,Accounts Clerk,Accounts Clerk,2026-04-29 00:08:20+00:00,doorsplus,SYD
