JOB_APPLICATION_ID,Time to Hire Days,Time to Hire Hours,CLIENT_NAME,CLIENT_REGION
4154,1,29,acem,SYD
13794,5,118,buildcorp,SYD
63912,27,646,awcc,SYD
45079,15,366,earlysettler,SYD
10,17210,413046,elmosandpit3,SYD
16063,37,882,carpentaria,SYD
379,17396,417509,msssecurity,SYD
25811,22,512,aeris,SYD
1026,17418,418035,msssecurity,SYD
671,0,1,mckinleyplowman,SYD
15801,14,341,fantech,SYD
35567,8,197,gladgroup,SYD
2088,11,269,beaumonttiles,SYD
16818,30,712,goodwin,SYD
18698,40,978,orangecitycouncil,SYD
40196,6,164,cea,SYD
3260,25,595,bdac,SYD
5,17222,413334,mla,SYD
13,18961,455064,csm2,SYD
4112,26,625,scecs,SYD
5112,17,409,aemoservices,SYD
5424,35,847,gsl,SYD
4195,22,527,scecs,SYD
21425,36,865,easternguruma,SYD
27210,14,331,planetfitness,SYD
