Assignment Rule ID,COURSE_ID,Assignment Rule Name,Assignment Rule Description,Assignment Rule Created Date,Assignment Rule Modified Date,Assignment Rule Is Active,Assignment Rule Is Confirmed,Assignment Rule Is Required Course,Assignment Rule Is Recommended Course,CLIENT_NAME,CLIENT_REGION
1085,486,BPH - (2018/07) Domestic Services,Mandatory Training Requirements for new staff commencing within Domestic Services,2018-09-13 07:43:06+00:00,2019-02-02 11:22:03+00:00,False,True,True,False,healthscope,SYD
25,81,"MPC Pre-Induction, 1-3 Months Induction","This will auto enrol all new VIC MPC staff in the MPC Pre-Induction (VIC) and the MPC Induction 1-3 Months (VIC) packages, as well as the Ambulance Victoria's Standard Operating Procedures Package",2022-02-22 22:42:52+00:00,2022-07-06 06:21:08+00:00,False,True,True,False,rfds,SYD
22,1042,Objective Training For New Starters,,2022-07-26 05:25:22+00:00,2022-12-04 23:37:58+00:00,True,True,False,True,gmw,SYD
136,112,Maintenance Manager WP,Mandatory Induction Training,2023-12-20 03:35:28+00:00,2025-06-27 01:09:28+00:00,True,True,True,False,becampbell,SYD
75,502,"Sarah Taylor - etrainu and ELMO 2024, 2025","Sarah Taylor - etrainu and ELMO 2024, 2025",2024-10-15 23:19:42+00:00,2025-06-10 04:57:52+00:00,True,True,True,False,lifecoop,SYD
506,1397,Transcriptionist Apollo Courses,Courses for Apollo for transcriptionists,2024-05-15 05:39:31+00:00,2024-05-15 05:39:37+00:00,True,True,True,False,sonic,SYD
9,50,"Plant 1A - Trailers - Frame Cross Member Weld, Drawbar Weld",Dynamically assign necessary SOP & VOC documents to this employee group.,2024-01-19 10:43:38+00:00,2026-02-26 02:26:23+00:00,True,True,True,False,telwater,SYD
306,799,Safety Business Partner (TNA) 2025,Safety Business Partner (TNA) 2025,2025-04-02 03:22:39+00:00,2026-07-08 01:15:13+00:00,True,True,True,False,sydneymetro,SYD
710,948,AU Field Staff & Non-Managerial - Harassment & WHS Modules (End Dated- 31/05/2026),WHS Modules (Exclude WA/SA/NT/ACT),2026-04-21 06:00:38+00:00,2026-05-25 00:24:22+00:00,True,True,True,False,wilson,SYD
27,146,Clinician,,2024-11-21 03:04:25+00:00,2025-11-20 03:52:19+00:00,True,True,True,False,wcfoundation,SYD
7,47,Facilities Team SOPs,Allocation rule for mandatory SOPs all facilities team members,2026-03-05 03:30:09+00:00,2026-03-05 03:30:34+00:00,True,True,True,False,padua,SYD
17,7,All New Staff - mandatory training,Auto-enrol,2020-09-10 04:16:29+00:00,2025-04-16 04:36:34+00:00,True,True,True,False,eastgippsland,SYD
49,391,New Team Member - Compliance Modules (08/07/2026),The new Team Member enrolment rule will apply the required compliance modules upon commencement,2024-04-14 21:59:36+00:00,2026-07-08 22:22:38+00:00,True,True,True,False,nti,SYD
